id_x,price,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,distance_to_center,neighbourhood_cleansed_Dn Laoghaire-Rathdown,neighbourhood_cleansed_Dublin City,neighbourhood_cleansed_Fingal,neighbourhood_cleansed_South Dublin,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,compound_scores,season_Spring,season_Summer,season_Autumn
45988020,258.0,4,100.0,99.0,0,4.0,1,1,53.34898,-6.28135,2,1.0,1.0,2.0,1,365,15,29,44,255,141,144,0,26,222,57276.0,4.76,4.75,4.85,4.9,4.83,4.69,4.6,1,3.05,1.4047710569772582,0,1,0,0,0,0,1,0,0.6161645833333333,0.3541666666666667,0.2222222222222222,0.18055555555555555
46133424,112.0,0,100.0,0.0,0,1.0,1,1,53.27276,-6.31235,2,1.5,1.0,1.0,5,1125,28,58,88,363,200,3,0,0,0,0.0,4.67,4.67,5.0,5.0,4.67,4.67,4.67,0,0.07,9.249249654833905,0,0,0,1,0,0,1,0,0.9524666666666667,0.0,0.0,0.3333333333333333
46256456,403.0,4,100.0,100.0,1,7.0,1,1,53.3465239,-6.2641525,2,1.0,1.0,2.0,1,365,17,43,69,342,179,124,0,13,36,14508.0,4.86,4.92,4.92,4.89,4.81,4.97,4.77,0,2.26,0.44582645790945025,0,1,0,0,1,0,0,0,0.744141129032258,0.3709677419354839,0.1935483870967742,0.20161290322580644
46256482,522.0,4,100.0,100.0,1,7.0,1,1,53.3466736,-6.263992399999999,2,1.0,1.0,1.0,1,365,23,53,81,354,191,14,0,0,6,3132.0,4.71,4.79,5.0,4.86,4.86,4.93,4.5,0,0.26,0.4260660692933018,0,1,0,0,1,0,0,0,0.7019714285714286,0.42857142857142855,0.35714285714285715,0.0
46256549,530.0,4,100.0,100.0,1,7.0,1,1,53.3465239,-6.2641525,2,1.0,1.0,1.0,1,365,19,47,72,338,175,10,0,1,12,6360.0,4.9,5.0,5.0,5.0,5.0,5.0,4.7,0,0.22,0.44582645790945025,0,1,0,0,1,0,0,0,0.92677,0.1,0.5,0.2
46256758,369.0,4,100.0,100.0,1,7.0,1,1,53.3466736,-6.263992399999999,2,1.0,1.0,1.0,1,365,22,52,80,354,191,1751,5,181,255,94095.0,4.91,4.89,4.94,4.94,4.9,4.96,4.79,0,31.93,0.4260660692933018,0,1,0,0,1,0,0,0,0.7657951945080091,0.2826086956521739,0.2494279176201373,0.19622425629290619
46270057,385.0,4,100.0,100.0,1,7.0,1,1,53.3465239,-6.2641525,2,1.0,1.0,2.0,1,365,28,58,86,359,196,468,4,64,255,98175.0,4.89,4.87,4.91,4.92,4.88,4.96,4.69,0,8.54,0.44582645790945025,0,1,0,0,1,0,0,0,0.7372920600858369,0.3197424892703863,0.2446351931330472,0.2017167381974249
46272500,327.0,4,100.0,100.0,1,7.0,1,1,53.3465239,-6.2641525,2,1.0,1.0,1.0,1,365,7,14,33,288,128,499,1,63,255,83385.0,4.89,4.89,4.94,4.95,4.87,4.97,4.78,0,9.1,0.44582645790945025,0,1,0,0,1,0,0,0,0.734620281124498,0.21686746987951808,0.2570281124497992,0.25502008032128515
46308019,204.0,4,99.0,95.0,0,92.0,1,1,53.356241,-6.2604773,4,1.0,1.0,2.0,14,60,8,18,30,34,34,58,1,19,255,52020.0,4.71,4.78,4.72,4.84,4.57,4.74,4.53,0,1.06,0.7169348165430095,0,1,0,0,1,0,0,0,0.5528724137931035,0.43103448275862066,0.1724137931034483,0.1896551724137931
46336642,79.0,4,98.0,96.0,0,26.0,1,1,53.32424,-6.27392,2,1.0,0.0,1.0,14,1125,0,12,23,113,113,43,1,10,255,20145.0,4.6,4.77,4.47,4.88,4.72,4.79,4.51,0,0.79,2.9858189282858043,0,1,0,0,1,0,0,0,0.5082395348837209,0.3023255813953488,0.2558139534883721,0.23255813953488372
